left_actor_name,arrow,right_actor_name
Gérard Depardieu,<->,Guillaume Canet
Gérard Depardieu,<->,Inés Sastre
Gérard Depardieu,<->,André Dussollier
Kimberley Kates,<->,Jared Leto
Kimberley Kates,<->,Jake Gyllenhaal
Kimberley Kates,<->,Selma Blair
Christina Applegate,<->,Justin Lazard
Christina Applegate,<->,Johnathon Schaech
Christina Applegate,<->,Moon Unit Zappa
James Marsden,<->,Gary Oldman
James Marsden,<->,Kurt Russell
James Marsden,<->,Matthew Edison
Jet Li,<->,Aaliyah
Jet Li,<->,Isaiah Washington
Jet Li,<->,Russell Wong
Brad Pitt,<->,Catherine Zeta-Jones
Brad Pitt,<->,Joseph Fiennes
Brad Pitt,<->,Michelle Pfeiffer
Snoop Dogg,<->,Pam Grier
Snoop Dogg,<->,Michael T. Weiss
Snoop Dogg,<->,Clifton Powell
Billy Bob Thornton,<->,Laura Dern
Billy Bob Thornton,<->,Diane Ladd
Billy Bob Thornton,<->,Kelly Preston
Brendan Fraser,<->,Bridget Fonda
Brendan Fraser,<->,John Turturro
Brendan Fraser,<->,Chris Kattan
Peter Coyote,<->,David W. Akin
Peter Coyote,<->,Jeff Ferris
Peter Coyote,<->,Craig Hochstein
Matt Damon,<->,James Cromwell
Matt Damon,<->,Daniel Studi
Matt Damon,<->,Chopper Bernet
Burt Young,<->,John Gigante
Burt Young,<->,Marrielle Monte
Burt Young,<->,Gerald Orange
Brent Roam,<->,Shawn Woods
Brent Roam,<->,Christopher Bersh
Brent Roam,<->,Kiefer Sutherland
Ron Perlman,<->,Doug Jones
Ron Perlman,<->,Selma Blair
Ron Perlman,<->,John Hurt
Kim Basinger,<->,Vincent Perez
Kim Basinger,<->,Liam Aiken
Kim Basinger,<->,Garrett Strommen
Elijah Wood,<->,Viggo Mortensen
Elijah Wood,<->,Ian McKellen
Elijah Wood,<->,Orlando Bloom
Elijah Wood,<->,Ian McKellen
Elijah Wood,<->,Viggo Mortensen
Elijah Wood,<->,Orlando Bloom
Alex D. Linz,<->,William Atherton
Alex D. Linz,<->,James Woods
Alex D. Linz,<->,Annabeth Gish
Stellan Skarsgård,<->,Lena Headey
Stellan Skarsgård,<->,Jean Johansson
Stellan Skarsgård,<->,Charlotte Rampling
Björk,<->,Catherine Deneuve
Björk,<->,David Morse
Björk,<->,Peter Stormare
Denzel Washington,<->,Derek Luke
Denzel Washington,<->,Joy Bryant
Denzel Washington,<->,Malcolm David Kelley
Aamir Khan,<->,Raghuvir Yadav
Aamir Khan,<->,Gracy Singh
Aamir Khan,<->,Rachel Shelley
Megan Ward,<->,Kristin Minter
Megan Ward,<->,Linden Ashby
Megan Ward,<->,John Ratzenberger
Jim Carrey,<->,Taylor Momsen
Jim Carrey,<->,Kelley
Jim Carrey,<->,Jeffrey Tambor
Kathleen Turner,<->,Danny Aiello
Kathleen Turner,<->,Cathy Moriarty
Kathleen Turner,<->,Frankie Nasso
Colin Farrell,<->,Matthew Davis
Colin Farrell,<->,Clifton Collins Jr.
Colin Farrell,<->,Tom Guiry
Liam Neeson,<->,Sandra Bullock
Liam Neeson,<->,Oliver Platt
Liam Neeson,<->,José Zúñiga
Ethan Hawke,<->,Kyle MacLachlan
Ethan Hawke,<->,Diane Venora
Ethan Hawke,<->,Sam Shepard
Ben Stiller,<->,Edward Norton
Ben Stiller,<->,Jenna Elfman
Ben Stiller,<->,Anne Bancroft
Renée Zellweger,<->,Morgan Freeman
Renée Zellweger,<->,Chris Rock
Renée Zellweger,<->,Greg Kinnear
Will Smith,<->,Martin Lawrence
Will Smith,<->,Gabrielle Union
Will Smith,<->,Jordi Mollà
Richard Thomas,<->,Maureen McCormick
Richard Thomas,<->,C. Thomas Howell
Richard Thomas,<->,Corey Feldman
Russell Crowe,<->,Joaquin Phoenix
Russell Crowe,<->,Connie Nielsen
Russell Crowe,<->,Oliver Reed
Ian Holm,<->,Stanley Tucci
Ian Holm,<->,Hope Davis
Ian Holm,<->,Sarah Hyland
Kyra Sedgwick,<->,Rob Morrow
Kyra Sedgwick,<->,Lela Rochon
Kyra Sedgwick,<->,Mary Tyler Moore
Melanie Griffith,<->,Stephen Dorff
Melanie Griffith,<->,Alicia Witt
Melanie Griffith,<->,Adrian Grenier
Alec Baldwin,<->,Steve Buscemi
Alec Baldwin,<->,Ming-Na Wen
Alec Baldwin,<->,Ving Rhames
Amanda Peet,<->,Brian Van Holt
Amanda Peet,<->,Jonathan Abrahams
Amanda Peet,<->,Zorie Barber
Richard Gere,<->,Winona Ryder
Richard Gere,<->,Anthony LaPaglia
Richard Gere,<->,Elaine Stritch
Anna Faris,<->,Jon Abrahams
Anna Faris,<->,Marlon Wayans
Anna Faris,<->,Carmen Electra
Brittany Murphy,<->,Jay Mohr
Brittany Murphy,<->,Michael Biehn
Brittany Murphy,<->,Jesse Bradford
Eric Roberts,<->,John Ritter
Eric Roberts,<->,Rachel Hunter
Eric Roberts,<->,Tyler Cole Malinger
Gary Daniels,<->,Mike Norris
Gary Daniels,<->,Bentley Mitchum
Gary Daniels,<->,John Rhys-Davies
James Marsden,<->,Lena Headey
James Marsden,<->,Norman Reedus
James Marsden,<->,Kate Hudson
Todd Emerson,<->,Christopher Lloyd
Todd Emerson,<->,Blake Foster
Todd Emerson,<->,Michael Purvis
Eamonn Walker,<->,Laurence Fishburne
Eamonn Walker,<->,Gregory Hines
Eamonn Walker,<->,Michael Paul Chan
Kylie Minogue,<->,Ben Mendelsohn
Kylie Minogue,<->,Simon Lyndon
Kylie Minogue,<->,David Field
Douglas McGrath,<->,Sigourney Weaver
Douglas McGrath,<->,Paul Guilfoyle
Douglas McGrath,<->,Jeffrey Jones
Toni Collette,<->,Daniel Craig
Toni Collette,<->,Katrin Cartlidge
Toni Collette,<->,Stephen Tompkinson
Corin Nemec,<->,David Faustino
Corin Nemec,<->,Danielle Harris
Corin Nemec,<->,Caroline Keenan
Cliff Gorman,<->,John Leguizamo
Cliff Gorman,<->,Rosie Perez
Cliff Gorman,<->,Julie Carmen
George Clooney,<->,Mark Wahlberg
George Clooney,<->,John C. Reilly
George Clooney,<->,Diane Lane
Shawnee Free Jones,<->,Seymour Cassel
Shawnee Free Jones,<->,Sally Kellerman
Shawnee Free Jones,<->,James Farentino
Mackenzie Astin,<->,Todd Field
Mackenzie Astin,<->,Dina Meyer
Mackenzie Astin,<->,Natasha Gregson Wagner
Simon Baker,<->,Anna Friel
Simon Baker,<->,Nick Stahl
Simon Baker,<->,Rory Cochrane
Jordana Brewster,<->,Cameron Diaz
Jordana Brewster,<->,Christopher Eccleston
Jordana Brewster,<->,Blythe Danner
Jake Gyllenhaal,<->,Dustin Hoffman
Jake Gyllenhaal,<->,Susan Sarandon
Jake Gyllenhaal,<->,Alexia Landeau
Jennifer Esposito,<->,Nick Moran
Jennifer Esposito,<->,Stephen Lang
Jennifer Esposito,<->,William B. Davis
Billy Bob Thornton,<->,Luke Askew
Billy Bob Thornton,<->,Dwight Yoakam
Billy Bob Thornton,<->,Vince Vaughn
Robert De Niro,<->,Edward Burns
Robert De Niro,<->,Kelsey Grammer
Robert De Niro,<->,Avery Brooks
Rick Stear,<->,Ed Setrakian
Rick Stear,<->,Joseph D'Onofrio
Rick Stear,<->,Paige Turco
Julie Carmen,<->,Frank Gorshin
Julie Carmen,<->,Scott Edmund Lane
Julie Carmen,<->,David Proval
Sean Astin,<->,Bruce Campbell
Sean Astin,<->,Stacy Keach
Sean Astin,<->,Suzanne Turner
Tom Arnold,<->,William McNamara
Tom Arnold,<->,Lori Heuring
Tom Arnold,<->,Randall Batinkoff
Eddie Murphy,<->,Jay Mohr
Eddie Murphy,<->,Randy Quaid
Eddie Murphy,<->,Rosario Dawson
Geoffrey Rush,<->,Kate Winslet
Geoffrey Rush,<->,Joaquin Phoenix
Geoffrey Rush,<->,Michael Caine
Ellen Burstyn,<->,Jared Leto
Ellen Burstyn,<->,Jennifer Connelly
Ellen Burstyn,<->,Marlon Wayans
Jeff Daniels,<->,Harve Presnell
Jeff Daniels,<->,Joey Albright
Jeff Daniels,<->,Wayne David Parker
Ernie Hudson,<->,Robin Givens
Ernie Hudson,<->,Debbie Allen
Ernie Hudson,<->,Lou Rawls
Garry Shandling,<->,Annette Bening
